version,label,status,featureKey,monthlyPrice,isIncludedInBase
1,2026 Standard Pricing,ACTIVE,COMPLETE_CHECKOUT,0,true
1,2026 Standard Pricing,ACTIVE,MANAGE_INVENTORY,0,true
1,2026 Standard Pricing,ACTIVE,RECORD_PAYMENT,0,true
1,2026 Standard Pricing,ACTIVE,CREATE_ORDER,49900,false
1,2026 Standard Pricing,ACTIVE,EDIT_ACTIVE_ORDER,19900,false
1,2026 Standard Pricing,ACTIVE,ISSUE_REFUND,19900,false
1,2026 Standard Pricing,ACTIVE,PRINT_RECEIPT,9900,false
1,2026 Standard Pricing,ACTIVE,START_VENDOR_SESSION,29900,false
1,2026 Standard Pricing,ACTIVE,CREATE_PURCHASE,29900,false
1,2026 Standard Pricing,ACTIVE,CREATE_TASK,19900,false
1,2026 Standard Pricing,ACTIVE,MANAGE_PRODUCTS,29900,false
1,2026 Standard Pricing,ACTIVE,MANAGE_EMPLOYEES,19900,false
1,2026 Standard Pricing,ACTIVE,MANAGE_CUSTOMERS,14900,false
1,2026 Standard Pricing,ACTIVE,MANAGE_SUPPLIERS,14900,false
1,2026 Standard Pricing,ACTIVE,VIEW_SALES_REPORTS,29900,false
1,2026 Standard Pricing,ACTIVE,VIEW_INVENTORY_REPORTS,19900,false
1,2026 Standard Pricing,ACTIVE,EXPORT_DATA,9900,false
1,2026 Standard Pricing,ACTIVE,VIEW_ANALYTICS,49900,false
1,2026 Standard Pricing,ACTIVE,MANAGE_BRANCHES,49900,false
1,2026 Standard Pricing,ACTIVE,ACCESS_API,99900,false
