productId,productName,productType,categoryName,baseUnitAbbreviation,variantId,variantName,image,sku,price,costPrice,attributeType,taxCategory,lowStockThreshold
fmrt-prod-rice-sinandomeng,Sinandomeng Rice,PHYSICAL_GOOD,Rice & Grains,g,fmrt-var-rice-5kg,5kg Bag,https://images.unsplash.com/photo-1516684732162-798a0062be99?auto=format&fit=crop&q=80&w=600,4800123001234,275,220,SIZE,EXEMPT,10
fmrt-prod-rice-sinandomeng,Sinandomeng Rice,PHYSICAL_GOOD,Rice & Grains,g,fmrt-var-rice-25kg,25kg Sack,https://images.unsplash.com/photo-1516684732162-798a0062be99?auto=format&fit=crop&q=80&w=600,4800123001235,1350,1080,SIZE,EXEMPT,5
fmrt-prod-rice-dinorado,Dinorado Premium Rice,PHYSICAL_GOOD,Rice & Grains,g,fmrt-var-rice-dino-5kg,5kg Bag,https://images.unsplash.com/photo-1516684732162-798a0062be99?auto=format&fit=crop&q=80&w=600,4800123002345,325,260,SIZE,EXEMPT,8
fmrt-prod-sardines,Ligo Sardines,PHYSICAL_GOOD,Canned Goods,g,fmrt-var-sardines-155g,155g (Tomato Sauce),https://images.unsplash.com/photo-1584649525135-9a49d5cf9e12?auto=format&fit=crop&q=80&w=600,4800055100016,28,19,FLAVOR,STANDARD,24
fmrt-prod-sardines,Ligo Sardines,PHYSICAL_GOOD,Canned Goods,g,fmrt-var-sardines-425g,425g (Tomato Sauce),https://images.unsplash.com/photo-1584649525135-9a49d5cf9e12?auto=format&fit=crop&q=80&w=600,4800055100023,65,45,FLAVOR,STANDARD,12
fmrt-prod-corned-beef,Argentina Corned Beef,PHYSICAL_GOOD,Canned Goods,g,fmrt-var-cornbeef-175g,175g Can,https://images.unsplash.com/photo-1534483509719-3feaee7c30da?auto=format&fit=crop&q=80&w=600,4800045011015,55,38,SIZE,STANDARD,24
fmrt-prod-corned-beef,Argentina Corned Beef,PHYSICAL_GOOD,Canned Goods,g,fmrt-var-cornbeef-380g,380g Can,https://images.unsplash.com/photo-1534483509719-3feaee7c30da?auto=format&fit=crop&q=80&w=600,4800045011022,110,78,SIZE,STANDARD,12
fmrt-prod-soy-sauce,Silver Swan Soy Sauce,PHYSICAL_GOOD,Cooking Essentials,ml,fmrt-var-soysauce-350ml,350ml Bottle,https://images.unsplash.com/photo-1618863239082-6a6b79d5a0a1?auto=format&fit=crop&q=80&w=600,4800016410014,32,21,SIZE,STANDARD,12
fmrt-prod-soy-sauce,Silver Swan Soy Sauce,PHYSICAL_GOOD,Cooking Essentials,ml,fmrt-var-soysauce-1L,1L Bottle,https://images.unsplash.com/photo-1618863239082-6a6b79d5a0a1?auto=format&fit=crop&q=80&w=600,4800016410021,75,52,SIZE,STANDARD,6
fmrt-prod-vinegar,Datu Puti Vinegar,PHYSICAL_GOOD,Cooking Essentials,ml,fmrt-var-vinegar-350ml,350ml Bottle,https://images.unsplash.com/photo-1608735980075-1d9e8a23a8b5?auto=format&fit=crop&q=80&w=600,4800021310013,28,18,SIZE,STANDARD,12
fmrt-prod-cooking-oil,Baguio Oil,PHYSICAL_GOOD,Cooking Essentials,ml,fmrt-var-oil-1L,1L Bottle,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?auto=format&fit=crop&q=80&w=600,4800014510017,115,82,SIZE,STANDARD,12
fmrt-prod-cooking-oil,Baguio Oil,PHYSICAL_GOOD,Cooking Essentials,ml,fmrt-var-oil-2L,2L Bottle,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?auto=format&fit=crop&q=80&w=600,4800014510024,215,155,SIZE,STANDARD,6
fmrt-prod-eggs,Magnolia Eggs,PHYSICAL_GOOD,Dairy & Eggs,pcs,fmrt-var-eggs-6pcs,6 pcs per tray,https://images.unsplash.com/photo-1567486279944-c4b71efcbc85?auto=format&fit=crop&q=80&w=600,4800050100012,55,40,SIZE,EXEMPT,12
